Order_num,LPORT,DPORT,Units,RT,Weight,PORT_L,PORT_D,PORT,CPORT
1,PORT A1,PORT B1,2,1.43,1480,PORT A1,PORT B1,PORT A1,PORT A2
2,PORT A1,PORT B1,1,1.57,2580,PORT A2,PORT B2,PORT A2,
3,PORT A1,PORT B4,23,1.67,2110,,PORT B3,PORT B1,
4,PORT A1,PORT B4,8,1.67,1900,,PORT B4,PORT B2,
5,PORT A1,PORT B5,6,1.67,2030,,PORT B5,PORT B3,
6,PORT A1,PORT B5,400,1.67,2110,,,PORT B4,
7,PORT A1,PORT B2,6,1.18,1240,,,PORT B5,
8,PORT A1,PORT B2,1,1.22,1410,,,,
9,PORT A1,PORT B4,96,1.31,1540,,,,
10,PORT A1,PORT B3,2,1.22,1410,,,,
11,PORT A1,PORT B3,1,1.31,1540,,,,
12,PORT A1,PORT B3,5,1.31,1540,,,,
13,PORT A1,PORT B3,3,1.31,1600,,,,
14,PORT A1,PORT B3,4,1.31,1540,,,,
15,PORT A1,PORT B4,1,1.31,1600,,,,
16,PORT A1,PORT B4,1,1.31,1500,,,,
17,PORT A1,PORT B4,2,1.38,1600,,,,
18,PORT A1,PORT B4,15,1.38,1590,,,,
19,PORT A1,PORT B4,1,1.38,1650,,,,
20,PORT A1,PORT B4,14,1.38,1480,,,,
21,PORT A1,PORT B5,16,1.38,1650,,,,
22,PORT A1,PORT B5,20,1.38,1640,,,,
23,PORT A1,PORT B5,1,1.38,1600,,,,
24,PORT A1,PORT B3,2,1.38,1590,,,,
25,PORT A1,PORT B3,18,1.38,1650,,,,
26,PORT A1,PORT B3,12,1.38,1640,,,,
27,PORT A1,PORT B3,1,1.38,1650,,,,
28,PORT A1,PORT B5,2,1.32,1500,,,,
29,PORT A1,PORT B5,1,1.32,1530,,,,
30,PORT A1,PORT B5,2,1.46,2130,,,,
31,PORT A1,PORT B5,11,1.46,2130,,,,
32,PORT A1,PORT B5,6,1.46,2130,,,,
33,PORT A1,PORT B5,1,1.46,2130,,,,
34,PORT A1,PORT B5,1,1.46,2130,,,,
35,PORT A1,PORT B5,2,1.43,1590,,,,
36,PORT A1,PORT B3,7,1.43,1590,,,,
37,PORT A1,PORT B3,5,1.47,2100,,,,
38,PORT A1,PORT B3,4,1.48,1680,,,,
39,PORT A1,PORT B3,3,1.48,1680,,,,
40,PORT A2,PORT B1,1,1.38,1600,,,,
41,PORT A2,PORT B1,1,1.31,1780,,,,
42,PORT A2,PORT B1,28,1.31,1840,,,,
43,PORT A2,PORT B1,4,1.31,1720,,,,
44,PORT A2,PORT B1,64,1.31,1840,,,,
45,PORT A2,PORT B4,1,1.51,2090,,,,
46,PORT A2,PORT B4,5,1.48,2280,,,,
47,PORT A2,PORT B4,1,1.48,2050,,,,
48,PORT A2,PORT B4,82,1.95,2470,,,,
49,PORT A2,PORT B4,6,2.47,3600,,,,
50,PORT A2,PORT B4,9,2.47,3600,,,,
51,PORT A2,PORT B2,119,1.38,1590,,,,
52,PORT A2,PORT B2,51,1.38,1650,,,,
53,PORT A2,PORT B5,600,1.38,1640,,,,
54,PORT A2,PORT B5,29,1.36,1780,,,,
55,PORT A2,PORT B2,49,1.36,1780,,,,
56,PORT A2,PORT B2,2,1.46,2130,,,,
57,PORT A2,PORT B5,7,1.47,2100,,,,
