Order_num,LPORT,DPORT,Units,RT,Weight,PORT_L,PORT_D,PORT,CPORT
1,L1,D1,47,0.9,1110,L1,D1,L1,L5
2,L1,D1,158,0.98,885,L2,D2,L2,
3,L1,D1,162,1.04,920,L3,D3,L3,
4,L2,D3,32,0.9,1110,L4,,L4,
5,L2,D3,30,0.9,1110,L5,,L5,
6,L2,D3,191,0.98,885,,,D1,
7,L2,D3,52,0.98,885,,,D2,
8,L2,D3,510,1.04,920,,,D3,
9,L2,D3,76,1.04,920,,,,
10,L5,D1,1,1.38,1600,,,,
11,L5,D1,1,1.31,1780,,,,
12,L5,D1,28,1.31,1840,,,,
13,L5,D1,4,1.31,1720,,,,
14,L5,D1,64,1.31,1840,,,,
15,L5,D1,100,1.43,1480,,,,
16,L5,D1,9,1.57,2450,,,,
17,L5,D1,1,1.57,2580,,,,
18,L5,D1,4,1.57,2620,,,,
19,L5,D1,1,1.51,2090,,,,
20,L5,D1,1,1.51,2150,,,,
21,L5,D1,2,1.51,2010,,,,
22,L5,D1,1,1.59,2610,,,,
23,L5,D1,2,1.59,2680,,,,
24,L5,D1,5,1.48,2280,,,,
25,L5,D1,1,1.48,2050,,,,
26,L5,D1,23,1.67,2110,,,,
27,L5,D1,8,1.67,1900,,,,
28,L5,D1,6,1.67,2030,,,,
29,L5,D1,40,1.67,2110,,,,
30,L5,D1,82,1.95,2470,,,,
31,L5,D1,85,1.95,2640,,,,
32,L5,D1,141,1.95,2470,,,,
33,L5,D1,203,1.95,2640,,,,
34,L5,D1,6,2.47,3600,,,,
35,L5,D1,9,2.47,3600,,,,
36,L5,D1,86,2.48,3600,,,,
37,L5,D1,6,1.18,1240,,,,
38,L5,D1,1,1.22,1410,,,,
39,L5,D1,96,1.31,1540,,,,
40,L5,D1,52,1.31,1600,,,,
41,L5,D1,2,1.38,1980,,,,
42,L5,D1,2,1.3,1370,,,,
43,L5,D1,6,1.3,1440,,,,
44,L5,D1,8,1.38,1600,,,,
45,L5,D1,119,1.38,1590,,,,
46,L5,D1,51,1.38,1650,,,,
47,L5,D1,128,1.38,1640,,,,
48,L5,D1,29,1.36,1780,,,,
49,L5,D1,49,1.36,1780,,,,
50,L5,D1,10,1.32,1500,,,,
51,L5,D1,2,1.32,1500,,,,
52,L5,D1,1,1.32,1530,,,,
53,L5,D1,1,1.36,1730,,,,
54,L5,D1,1,1.46,1980,,,,
55,L5,D1,2,1.46,2130,,,,
56,L5,D1,7,1.47,2100,,,,
57,L5,D1,6,1.48,1680,,,,
58,L5,D1,2,1.18,1240,,,,
59,L5,D1,1,1.18,1260,,,,
60,L5,D1,11,1.22,1410,,,,
61,L5,D1,2,1.32,1990,,,,
62,L5,D1,105,1.31,1540,,,,
63,L5,D1,3,1.31,1600,,,,
64,L5,D1,9,1.3,1370,,,,
65,L5,D1,1,1.3,1440,,,,
66,L5,D1,25,1.38,1610,,,,
